PARTICLE_QKE,PLATE_L,PLATE_GAP,PLATE_MINV
0.5,0.1,0.4,0.11872874214694228
0.5,0.1,0.6000000000000001,0.18925902523848456
0.5,0.1,0.8000000000000002,0.3325214688871636
0.5,0.1,1.0000000000000002,0.55639580255974
0.5,0.30000000000000004,0.4,0.05803982441684374
0.5,0.30000000000000004,0.6000000000000001,0.08130763110714755
0.5,0.30000000000000004,0.8000000000000002,0.1794108674024727
0.5,0.30000000000000004,1.0000000000000002,0.24378160507667365
0.5,0.5000000000000001,0.4,0.06081032597775644
0.5,0.5000000000000001,0.6000000000000001,0.0619105280951667
0.5,0.5000000000000001,0.8000000000000002,0.1004480280509196
0.5,0.5000000000000001,1.0000000000000002,0.16574492891438702
0.5,0.7000000000000001,0.4,0.023560679945610827
0.5,0.7000000000000001,0.6000000000000001,0.04374238074190878
0.5,0.7000000000000001,0.8000000000000002,0.0867815788483821
0.5,0.7000000000000001,1.0000000000000002,0.11200038990664937
0.5,0.9000000000000001,0.4,0.02356780921881696
0.5,0.9000000000000001,0.6000000000000001,0.047639054482746634
0.5,0.9000000000000001,0.8000000000000002,0.0798367220605842
0.5,0.9000000000000001,1.0000000000000002,0.10984689364759725
0.5,1.1000000000000003,0.4,0.02361690395378049
0.5,1.1000000000000003,0.6000000000000001,0.047776086875428836
0.5,1.1000000000000003,0.8000000000000002,0.052581730932114545
0.5,1.1000000000000003,1.0000000000000002,0.06910948071763781
0.5,1.3000000000000003,0.4,0.0236161463967957
0.5,1.3000000000000003,0.6000000000000001,0.05036679397156486
0.5,1.3000000000000003,0.8000000000000002,0.057064472961118815
0.5,1.3000000000000003,1.0000000000000002,0.06099801994680177
0.5,1.5000000000000004,0.4,0.02361065862754168
0.5,1.5000000000000004,0.6000000000000001,0.03936728489001878
0.5,1.5000000000000004,0.8000000000000002,0.05718411898682796
0.5,1.5000000000000004,1.0000000000000002,0.06133167593361839
0.5,1.7000000000000004,0.4,0.02403975065818978
0.5,1.7000000000000004,0.6000000000000001,0.039366846001160624
0.5,1.7000000000000004,0.8000000000000002,0.0604181506704047
0.5,1.7000000000000004,1.0000000000000002,0.07199963010564035
0.5,1.9000000000000004,0.4,0.023616514998534337
0.5,1.9000000000000004,0.6000000000000001,0.039365799327382794
0.5,1.9000000000000004,0.8000000000000002,0.04402964511044527
0.5,1.9000000000000004,1.0000000000000002,0.0719614221919018
0.5,2.1000000000000005,0.4,0.024039528391995395
0.5,2.1000000000000005,0.6000000000000001,0.03936717201907004
0.5,2.1000000000000005,0.8000000000000002,0.04402748611977422
0.5,2.1000000000000005,1.0000000000000002,0.06099911797831134
0.5,2.3000000000000007,0.4,0.024039501347530006
0.5,2.3000000000000007,0.6000000000000001,0.013122294060520946
0.5,2.3000000000000007,0.8000000000000002,0.04401915925123506
0.5,2.3000000000000007,1.0000000000000002,0.058920185487214366
0.5,2.5000000000000004,0.4,0.023616536144283558
0.5,2.5000000000000004,0.6000000000000001,0.013122386948605038
0.5,2.5000000000000004,0.8000000000000002,0.04403286375717218
0.5,2.5000000000000004,1.0000000000000002,0.0558285979104126
