------ Begin Next Fly'm ------


"Begin Fly'm (Tue May 04 16:05:02 2021)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 10000"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","NO ","NO ","NO ","NO ","YES","YES","NO "


"Ion N","Mass","X","Y","Z","Azm","Elv","Vx","Vy","Vz","KE"
66,28,162.572,135.685,150,89.5509,0.820526,0.206632,0.377584,-26.3633,100.875
67,28,166.693,136.55,150,90.5342,0.607789,-0.245798,0.27967,-26.3621,100.859
68,28,166.43,139.092,150,90.172,0.0370112,-0.0791823,0.0170342,-26.3699,100.899
69,28,167.487,138.868,150,90.2863,0.0785405,-0.131775,0.0361456,-26.3681,100.887
70,28,162.122,138.223,150,89.8615,0.107665,0.0637296,0.0495467,-26.367,100.877
71,28,167.539,142.284,150,90.6292,-0.632003,-0.289516,-0.29081,-26.3615,100.858
72,28,160.92,137.838,150,89.7203,0.190805,0.128719,0.0878001,-26.3645,100.861
73,28,164.004,144.61,150,90.0012,-0.75759,-0.000546834,-0.348749,-26.374,100.947
74,28,164.156,144.533,150,90.1092,-0.979708,-0.0502567,-0.450965,-26.3709,100.936
75,28,165.991,143.581,150,90.3681,-0.696247,-0.169394,-0.320378,-26.3628,100.863
76,28,161.478,138.481,150,89.81,0.0945999,0.0874333,0.0435372,-26.3688,100.891
77,28,169.076,139.242,150,90.6784,0.144385,-0.312238,0.0664559,-26.3695,100.91
78,28,159.904,140.111,150,89.6486,-0.0569424,0.161722,-0.026208,-26.3702,100.905
79,28,163.175,136.198,150,89.4164,1.11407,0.268503,0.512664,-26.3612,100.88
80,28,160.833,142.74,150,89.5082,-0.581759,0.226298,-0.267682,-26.3613,100.851
81,28,166.505,136.306,150,90.4026,0.511746,-0.185245,0.235472,-26.3624,100.854
82,28,168.718,139.812,150,91.1392,0.270992,-0.524289,0.12473,-26.3662,100.912
83,28,168.72,140.709,150,90.8952,-0.405243,-0.411955,-0.186499,-26.3648,100.889
84,28,168.673,138.624,150,90.6453,0.266986,-0.296946,0.122869,-26.3661,100.885
85,28,168.334,140.357,150,90.3963,-0.0933856,-0.182392,-0.0429783,-26.3683,100.891
86,28,161.876,137.162,150,89.1886,0.899997,0.373347,0.414136,-26.36,100.867
87,28,159.546,140.678,150,89.0179,-0.48918,0.451956,-0.225131,-26.3642,100.891
88,28,167.834,137.834,150,90.7227,0.520683,-0.332543,0.239597,-26.3623,100.865
89,28,168.651,139.818,150,91.1506,0.295623,-0.529539,0.136064,-26.3655,100.908
90,28,163.538,143.281,150,89.5121,-1.22648,0.224504,-0.564415,-26.3619,100.891
91,28,162.698,136.451,150,89.3324,1.03113,0.307158,0.474478,-26.3603,100.871
92,28,159.064,140.695,150,89.387,-0.207575,0.282096,-0.0955317,-26.3675,100.893
93,28,161.588,143.307,150,89.5859,-0.661728,0.190529,-0.304486,-26.3621,100.857
94,28,167.825,141.037,150,91.0019,-0.681808,-0.460993,-0.313748,-26.3605,100.871
95,28,168.859,139.149,150,90.8562,0.28814,-0.394025,0.132606,-26.3651,100.887
96,28,164.053,144.024,150,89.7389,-1.20878,0.120155,-0.556363,-26.3673,100.925
97,28,161.984,136.303,150,89.7593,0.373812,0.110772,0.172007,-26.3637,100.857
98,28,162.854,137.278,150,89.9079,0.184721,0.0424056,0.085017,-26.37,100.9
99,28,160.228,138.307,150,89.1053,0.603538,0.411663,0.277725,-26.3612,100.867
100,28,165.437,143.759,150,90.1979,-0.537158,-0.0910468,-0.247172,-26.3636,100.86
101,28,167.77,137.633,150,90.466,0.325674,-0.214421,0.149851,-26.3621,100.848
102,28,159.699,138.269,150,89.4886,0.24985,0.235318,0.11497,-26.3637,100.861
103,28,160.977,141.972,150,89.7268,-0.267626,0.125704,-0.123146,-26.3638,100.856
104,28,166.765,136.769,150,90.6114,0.659834,-0.281313,0.303616,-26.3614,100.858
105,28,168.296,138.193,150,90.5429,0.281286,-0.249827,0.129436,-26.3637,100.862
106,28,169.174,139.766,150,90.6175,0.00253935,-0.284259,0.00116892,-26.373,100.934
107,28,166.397,143.311,150,90.356,-0.582513,-0.163813,-0.268035,-26.3625,100.856
108,28,164.441,143.993,150,90.3157,-1.0698,-0.145284,-0.49234,-26.365,100.899
109,28,164.791,136.273,150,90.5984,1.13465,-0.275299,0.522125,-26.3605,100.877
110,28,168.587,139.119,150,90.9458,0.387883,-0.435262,0.178515,-26.3652,100.895
111,28,166.969,137.027,150,90.344,0.331162,-0.158265,0.152376,-26.3624,100.848
112,28,164.601,134.994,150,90.2173,0.829714,-0.100022,0.381871,-26.368,100.906
113,28,168.569,141.223,150,90.7343,-0.419165,-0.337892,-0.192895,-26.3642,100.877
114,28,167.217,138.073,150,90.2868,0.167309,-0.131979,0.0769886,-26.3648,100.863
115,28,167.022,137.306,150,90.316,0.275249,-0.145403,0.12665,-26.3628,100.849
116,28,166.813,139.532,150,90.2009,0.000976444,-0.0924886,0.000449451,-26.3727,100.921
117,28,162.268,135.766,150,89.5622,0.729014,0.201428,0.335469,-26.3635,100.872
118,28,161.552,138.863,150,89.8245,0.0577346,0.0807882,0.0265718,-26.3697,100.898
119,28,167.188,136.96,150,90.4518,0.425755,-0.20789,0.195898,-26.3616,100.847
120,28,165.235,142.938,150,90.1122,-0.328561,-0.0516182,-0.151206,-26.3676,100.884
121,28,168.024,141.331,150,90.3962,-0.23329,-0.182314,-0.107348,-26.3637,100.857
122,28,163.183,144.049,150,89.8834,-0.545721,0.0536456,-0.251154,-26.368,100.894
123,28,165.066,136.277,150,90.1095,0.309124,-0.0503975,0.142262,-26.3678,100.885
124,28,163.81,134.992,150,89.8248,1.02863,0.0806346,0.473487,-26.3708,100.938
125,28,168.414,139.295,150,91.0388,0.422121,-0.478026,0.194268,-26.3638,100.89
126,28,160.696,137.909,150,89.1422,0.698252,0.394691,0.321307,-26.3609,100.867
127,28,159.994,137.829,150,89.369,0.422012,0.29034,0.194191,-26.3629,100.862
128,28,163.3,135.491,150,89.9037,0.44714,0.0443334,0.205779,-26.3676,100.887
129,28,167.913,139.425,150,90.3274,0.0239262,-0.150686,0.0110121,-26.37,100.902
130,28,159.569,140.091,150,89.5926,-0.0571196,0.187531,-0.0262904,-26.3708,100.91
131,28,165.592,136.277,150,90.6229,0.92031,-0.286582,0.423484,-26.3611,100.869
132,28,165.511,135.639,150,90.4167,0.766418,-0.191737,0.352688,-26.3639,100.876
133,28,161.158,142.479,150,89.3198,-0.830435,0.312961,-0.382129,-26.3613,100.868
134,28,159.362,139.861,150,89.5572,-0.0241902,0.203826,-0.0111345,-26.3719,100.92
135,28,163.166,144.066,150,89.8787,-0.554298,0.0558186,-0.255102,-26.3681,100.894
136,28,165.52,135.588,150,90.3937,0.736778,-0.181142,0.339049,-26.3642,100.876
137,28,163.039,144.162,150,89.7377,-0.823248,0.120721,-0.37885,-26.3649,100.883
138,28,166.167,136.061,150,90.4598,0.649723,-0.211568,0.298971,-26.3628,100.863
139,28,164.91,144.237,150,90.1816,-0.693883,-0.0835773,-0.31934,-26.3673,100.894
140,28,167.04,142.449,150,90.6685,-0.77503,-0.3076,-0.356626,-26.361,100.862
141,28,163.816,144.436,150,89.8482,-1.01368,0.0698659,-0.466583,-26.3696,100.928
142,28,163.538,144.234,150,89.7466,-0.991021,0.116624,-0.456112,-26.3672,100.909
143,28,163.002,135.372,150,89.8413,0.514715,0.0730372,0.236881,-26.3677,100.89
144,28,166.352,141.931,150,90.8554,-1.03878,-0.393536,-0.477994,-26.3587,100.868
145,28,162.692,143.905,150,89.804,-0.574409,0.0901896,-0.264314,-26.3636,100.861
