------ Begin Next Fly'm ------


"Begin Fly'm (Tue May 04 16:05:02 2021)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 10000"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","NO ","NO ","NO ","NO ","YES","YES","NO "


"Ion N","Mass","X","Y","Z","Azm","Elv","Vx","Vy","Vz","KE"
599,28,160.361,137.418,150,89.5068,0.382203,0.226947,0.175862,-26.362,100.85
600,28,160.249,138.789,150,88.9689,0.623021,0.474478,0.286707,-26.3615,100.879
601,28,166.667,140.347,150,90.1885,-0.0720694,-0.0867782,-0.0331707,-26.3708,100.907
602,28,165.622,142.403,150,90.6912,-1.16095,-0.318019,-0.534259,-26.3615,100.89
603,28,166.906,137.004,150,90.6611,0.665481,-0.304197,0.306222,-26.3618,100.863
604,28,160.447,142.393,150,89.4519,-0.552855,0.252192,-0.254394,-26.3624,100.86
605,28,163.331,142.917,150,89.9418,-0.311168,0.0267905,-0.143208,-26.3688,100.893
606,28,166.436,143.27,150,90.348,-0.557485,-0.160129,-0.256514,-26.362,100.851
607,28,165.351,142.3,150,90.1066,-0.246811,-0.0490765,-0.11359,-26.3691,100.894
608,28,166.254,142.599,150,90.2102,-0.323336,-0.0967308,-0.14878,-26.3637,100.856
609,28,164.002,138.376,150,90.0003,0.0779545,-0.000127564,0.0358883,-26.3776,100.957
610,28,159.98,141.892,150,89.4931,-0.395141,0.233222,-0.181815,-26.3618,100.849
611,28,164.312,134.813,150,90.1165,0.821756,-0.053595,0.378232,-26.3698,100.919
612,28,161.349,138.578,150,89.7999,0.0876958,0.092116,0.0403615,-26.3699,100.9
613,28,166.797,142.99,150,90.3797,-0.522678,-0.174678,-0.240493,-26.3614,100.846
614,28,166.545,139.715,150,90.1748,-0.0162676,-0.0804851,-0.00748814,-26.3737,100.928
615,28,167.804,139.196,150,90.3192,0.0489793,-0.14688,0.0225412,-26.3682,100.889
616,28,162.31,135.987,150,89.476,0.825842,0.241113,0.380034,-26.3633,100.877
617,28,159.993,139.424,150,88.8469,0.517239,0.530626,0.238042,-26.3623,100.89
618,28,163.474,144.291,150,89.7709,-0.939043,0.105438,-0.432188,-26.3674,100.908
619,28,159.294,138.679,150,89.3556,0.255156,0.29654,0.117424,-26.3659,100.882
620,28,164.221,140.648,150,90.014,-0.087013,-0.00643175,-0.0400579,-26.377,100.953
621,28,164.776,135.827,150,90.4873,1.05376,-0.224212,0.484937,-26.3634,100.89
622,28,164.893,138.749,150,90.0587,0.0532184,-0.0270343,0.0244969,-26.3737,100.927
623,28,168.412,139.644,150,90.4042,0.0045024,-0.18603,0.00207238,-26.3716,100.917
624,28,166.692,141.876,150,90.2262,-0.236829,-0.104075,-0.10898,-26.3651,100.865
625,28,161.481,137.125,150,89.2419,0.800155,0.348791,0.368197,-26.3611,100.868
626,28,162.045,143.608,150,89.6397,-0.694735,0.165773,-0.319683,-26.3629,100.864
627,28,160.904,137.448,150,89.6858,0.255071,0.144591,0.117368,-26.3633,100.853
628,28,162.822,138.463,150,89.9199,0.0767745,0.0368513,0.03534,-26.3737,100.928
629,28,164.073,134.791,150,90.0181,0.677403,-0.00831323,0.311827,-26.3735,100.94
630,28,168.762,139.48,150,91.0082,0.311785,-0.46395,0.14349,-26.3645,100.891
631,28,160.064,137.828,150,89.5188,0.30195,0.221423,0.138942,-26.3634,100.859
632,28,160.117,139.29,150,89.6734,0.0394216,0.15031,0.018143,-26.3688,100.894
633,28,166.23,136.058,150,90.4104,0.580995,-0.188854,0.267339,-26.3625,100.857
634,28,163.694,144.557,150,89.909,-0.801756,0.0418615,-0.369028,-26.3701,100.92
635,28,166.311,136.156,150,90.365,0.506681,-0.167925,0.233141,-26.3625,100.854
636,28,168.831,138.873,150,90.6973,0.24557,-0.320886,0.11301,-26.365,100.878
637,28,162.027,143.592,150,89.6322,-0.700925,0.16925,-0.32253,-26.3628,100.863
638,28,160.949,142.326,150,89.2947,-0.799917,0.324531,-0.368082,-26.3609,100.865
639,28,165.265,136.747,150,90.1156,0.250972,-0.0531964,0.115501,-26.3681,100.887
640,28,160.034,141.753,150,89.2612,-0.593824,0.339948,-0.273253,-26.362,100.865
641,28,167.634,142.334,150,90.5298,-0.514256,-0.243777,-0.236627,-26.3619,100.854
642,28,161.532,142.367,150,89.2656,-0.958261,0.337872,-0.440943,-26.36,100.867
643,28,167.901,141.261,150,90.3678,-0.211458,-0.169228,-0.0973014,-26.3637,100.857
644,28,160.23,141.955,150,89.2922,-0.628271,0.325671,-0.289108,-26.3624,100.868
645,28,167.244,142.672,150,90.4933,-0.568367,-0.22695,-0.26152,-26.3614,100.851
646,28,160.297,141.994,150,89.2919,-0.647249,0.325831,-0.29784,-26.3623,100.868
647,28,165.313,136.235,150,90.6134,0.990018,-0.282243,0.455588,-26.3624,100.882
648,28,168.223,141.349,150,90.8219,-0.550842,-0.378211,-0.253483,-26.3625,100.872
649,28,165.007,135.258,150,90.3245,0.807441,-0.149333,0.371608,-26.367,100.9
650,28,164.977,135.155,150,90.2466,0.707308,-0.113454,0.325496,-26.3653,100.881
651,28,161.022,142.569,150,89.3627,-0.764738,0.293249,-0.351897,-26.3617,100.866
652,28,163.353,135.537,150,89.9136,0.434859,0.0397477,0.200129,-26.3679,100.889
653,28,160.907,142.657,150,89.4234,-0.693024,0.265296,-0.318895,-26.362,100.863
654,28,168.41,138.328,150,90.563,0.269878,-0.25907,0.12419,-26.3644,100.868
655,28,163.943,144.646,150,89.9719,-0.91104,0.0129144,-0.419387,-26.3732,100.949
656,28,168.132,140.942,150,90.9761,-0.590119,-0.449119,-0.271557,-26.3612,100.872
657,28,168.278,141.66,150,90.5926,-0.412507,-0.272674,-0.189816,-26.3629,100.861
658,28,168.616,140.922,150,90.5087,-0.211333,-0.234099,-0.097253,-26.3657,100.876
659,28,158.679,139.972,150,89.2785,-0.0489729,0.332122,-0.0225445,-26.3738,100.944
660,28,159.961,138.114,150,89.5528,0.237003,0.20578,0.109058,-26.364,100.861
661,28,163.659,144.469,150,89.8327,-0.934527,0.0769843,-0.430147,-26.3698,100.926
662,28,166.889,137.737,150,90.8657,0.783742,-0.39832,0.360649,-26.3608,100.87
663,28,159.282,138.966,150,89.1523,0.335447,0.390135,0.154386,-26.3665,100.898
664,28,160.746,140.063,150,89.757,-0.0477906,0.111856,-0.0219969,-26.3717,100.914
665,28,162.595,143.183,150,89.8597,-0.378035,0.0645732,-0.17396,-26.3653,100.868
666,28,163.593,144.475,150,89.9024,-0.741769,0.04491,-0.341406,-26.3694,100.912
667,28,164.416,144.269,150,90.2402,-0.993187,-0.110525,-0.457121,-26.3679,100.915
668,28,166.229,136.647,150,90.6671,0.805781,-0.30695,0.370784,-26.3614,100.867
669,28,159.669,141.516,150,89.4772,-0.33058,0.24055,-0.152115,-26.363,100.857
670,28,158.724,139.927,150,89.0285,-0.0445756,0.447222,-0.0205214,-26.3736,100.956
671,28,162.419,140.861,150,89.8952,-0.109417,0.0482255,-0.0503632,-26.3725,100.919
672,28,161.295,142.3,150,89.7486,-0.302649,0.115668,-0.139259,-26.3632,100.852
673,28,160.297,141.392,150,89.0923,-0.723824,0.417664,-0.333088,-26.3616,100.876
674,28,162.29,136.894,150,89.2207,0.973443,0.358572,0.447936,-26.36,100.871
675,28,163.355,135.825,150,89.9249,0.372064,0.0345479,0.171227,-26.3676,100.885
676,28,167.451,141.966,150,90.7667,-0.735811,-0.352762,-0.338588,-26.3612,100.866
677,28,165.95,143.212,150,90.2168,-0.424662,-0.099757,-0.195409,-26.3641,100.861
678,28,163.972,134.777,150,89.9934,0.680446,0.00302278,0.313234,-26.3741,100.944
679,28,166.088,140.707,150,90.144,-0.100321,-0.0662682,-0.0461735,-26.3707,100.905
680,28,167.516,142.361,150,90.5939,-0.606882,-0.273272,-0.279251,-26.3617,100.858
681,28,164.728,144.334,150,90.1481,-0.691161,-0.0681401,-0.318106,-26.3689,100.906
682,28,165.294,135.94,150,90.1567,0.386287,-0.0720951,0.177756,-26.3651,100.867
683,28,168.13,138.933,150,90.3802,0.0946584,-0.174967,0.0435632,-26.3677,100.886
684,28,167.248,138.137,150,90.9272,0.730693,-0.426629,0.336242,-26.3608,100.872
685,28,168.798,139.487,150,91.0008,0.298499,-0.460561,0.137377,-26.3647,100.892
686,28,163.585,134.882,150,89.8997,0.679867,0.0461569,0.312917,-26.3698,100.912
687,28,165.285,135.426,150,90.2276,0.559221,-0.104721,0.257329,-26.364,100.864
688,28,164.863,135.104,150,90.2568,0.765478,-0.118179,0.352277,-26.366,100.888
689,28,167.54,137.952,150,90.347,0.207409,-0.159667,0.0954394,-26.364,100.859
690,28,166.432,142.603,150,90.2343,-0.336112,-0.107805,-0.154663,-26.3642,100.86
691,28,168.749,140.862,150,90.5527,-0.218315,-0.254317,-0.100464,-26.365,100.871
692,28,165.291,141.946,150,90.0955,-0.206777,-0.0439415,-0.0951683,-26.3699,100.9
693,28,164.154,134.997,150,90.1578,1.04327,-0.0726447,0.480224,-26.3706,100.938
694,28,169.159,140.04,150,90.999,-0.157184,-0.459841,-0.0723548,-26.3702,100.932
695,28,165.812,143.335,150,90.2079,-0.445272,-0.0956849,-0.204897,-26.3647,100.866
696,28,159.478,138.808,150,89.1387,0.397197,0.396342,0.182796,-26.365,100.888
697,28,161.622,143.328,150,89.5885,-0.666612,0.189337,-0.306735,-26.3623,100.859
698,28,164.222,144.47,150,90.0454,-0.679504,-0.0208979,-0.31277,-26.3715,100.925
699,28,161.383,137.78,150,89.0968,0.852931,0.415566,0.392492,-26.3605,100.874
700,28,161.879,137.727,150,89.0662,0.953786,0.429638,0.438905,-26.3599,100.877
701,28,159.894,141.815,150,89.4797,-0.390589,0.239396,-0.179721,-26.3618,100.85
702,28,167.233,140.371,150,90.2447,-0.0786823,-0.112622,-0.0362123,-26.3692,100.895
703,28,159.438,140.123,150,89.5645,-0.0632872,0.200441,-0.0291282,-26.3699,100.904
704,28,168.965,140.434,150,90.5671,-0.137858,-0.261024,-0.0634487,-26.3688,100.901
705,28,162.618,140.623,150,89.9104,-0.0884901,0.0412473,-0.0407324,-26.3735,100.926
706,28,164.097,144.042,150,90.2768,-1.15685,-0.127365,-0.532444,-26.3668,100.918
707,28,164.56,144.362,150,90.109,-0.6694,-0.0501555,-0.308087,-26.3688,100.904
708,28,166.886,142.13,150,90.7768,-0.87721,-0.357407,-0.403656,-26.3607,100.87
709,28,168.93,139.827,150,91.1143,0.176656,-0.512872,0.0813175,-26.369,100.931
710,28,159.494,140.892,150,89.1005,-0.472868,0.41394,-0.217614,-26.3637,100.882
711,28,166.871,141.969,150,90.8212,-0.902347,-0.377816,-0.415223,-26.3603,100.871
712,28,160.96,136.873,150,89.4301,0.574051,0.262212,0.264143,-26.3618,100.857
713,28,159.511,140.045,150,88.8465,-0.415065,0.530856,-0.191028,-26.3639,100.898
714,28,166.919,142.438,150,90.685,-0.816244,-0.315164,-0.375597,-26.3612,100.866
715,28,162.819,135.351,150,89.6597,0.772935,0.156609,0.355701,-26.3652,100.884
716,28,169.049,140.217,150,90.962,-0.250883,-0.442735,-0.115472,-26.3672,100.908
717,28,165.921,143.627,150,90.2971,-0.600554,-0.136695,-0.27634,-26.3629,100.858
718,28,161.822,139.726,150,89.8542,-0.0180617,0.0670984,-0.00831432,-26.3748,100.936
719,28,167.794,138.571,150,90.3448,0.128634,-0.158665,0.0591956,-26.3662,100.874
720,28,168.807,139.736,150,90.4897,-0.00229239,-0.2254,-0.0010552,-26.3727,100.927
721,28,161.912,136.8,150,89.7905,0.282504,0.0964158,0.129995,-26.3643,100.86
722,28,162.72,143.991,150,89.6948,-0.79114,0.140465,-0.364084,-26.3655,100.887
723,28,158.742,139.885,150,88.9985,-0.0063114,0.461067,-0.00290578,-26.3751,100.969
724,28,160.595,138.806,150,88.9142,0.713286,0.499589,0.328233,-26.3597,100.872
725,28,162.773,135.303,150,89.7316,0.653067,0.123497,0.30054,-26.3659,100.883
726,28,159.896,140.16,150,89.6466,-0.0630116,0.162643,-0.0290011,-26.3699,100.902
727,28,161.262,136.514,150,89.523,0.54985,0.219458,0.253008,-26.3624,100.857
728,28,161.535,143.253,150,89.564,-0.675818,0.200598,-0.310971,-26.3621,100.858
729,28,162.16,143.018,150,89.8147,-0.374957,0.0852787,-0.172539,-26.3645,100.862
730,28,164.02,134.718,150,90.0063,0.751297,-0.00292259,0.345864,-26.3749,100.954
731,28,166.466,143.253,150,90.4358,-0.674516,-0.200521,-0.310371,-26.362,100.858
732,28,162.563,143.937,150,89.701,-0.736362,0.137595,-0.338861,-26.3647,100.878
733,28,160.966,137.187,150,89.3068,0.667372,0.318967,0.307093,-26.3617,100.864
734,28,169.247,139.586,150,90.8129,0.100204,-0.374165,0.0461228,-26.3699,100.919
735,28,166.577,141.885,150,90.8573,-0.987995,-0.394428,-0.454644,-26.3601,100.876
736,28,166.13,135.978,150,90.4089,0.603082,-0.188139,0.27751,-26.3632,100.864
737,28,160.406,142.345,150,89.5268,-0.467289,0.217728,-0.215008,-26.3614,100.847
738,28,158.796,139.491,150,89.1777,0.142757,0.378498,0.0657099,-26.37,100.921
739,28,160.238,138.296,150,89.6398,0.169644,0.165755,0.0780615,-26.3639,100.857
740,28,161.623,142.389,150,89.2674,-0.978704,0.337058,-0.450355,-26.3602,100.87
741,28,164.476,135.539,150,90.0625,0.425351,-0.0287443,0.195761,-26.3689,100.897
742,28,163.531,140.45,150,89.9709,-0.0725027,0.0133916,-0.0333766,-26.3761,100.946
743,28,167.439,138.796,150,91.0801,0.702986,-0.49697,0.32349,-26.3596,100.87
744,28,168.855,138.989,150,90.6,0.163572,-0.276125,0.0752811,-26.3679,100.895
745,28,162.207,136.511,150,89.811,0.312855,0.086947,0.143961,-26.3645,100.861
746,28,168.016,141.941,150,90.531,-0.424323,-0.244334,-0.195243,-26.3618,100.85
747,28,159.596,140.852,150,89.0594,-0.508955,0.432849,-0.234219,-26.363,100.88
748,28,167.463,137.707,150,90.7708,0.625825,-0.354672,0.28798,-26.3618,100.867
749,28,168.009,141.525,150,90.8129,-0.609913,-0.374033,-0.280664,-26.3622,100.871
750,28,168.232,140.09,150,90.3714,-0.0552462,-0.170958,-0.0254274,-26.3702,100.905
751,28,159.278,140.404,150,89.5152,-0.114191,0.223104,-0.0525546,-26.3685,100.895
752,28,167.897,137.681,150,90.541,0.372643,-0.248912,0.171465,-26.362,100.851
753,28,163.164,141.473,150,89.9429,-0.157437,0.0262808,-0.0724601,-26.3703,100.902
754,28,163.524,134.88,150,89.8782,0.700205,0.056042,0.322278,-26.3697,100.912
755,28,160.346,137.417,150,89.4818,0.402931,0.238435,0.185404,-26.3624,100.854
756,28,159.603,140.224,150,89.5967,-0.0754125,0.185599,-0.0347086,-26.3697,100.902
757,28,169.242,140.272,150,90.759,-0.154017,-0.349341,-0.0708937,-26.3708,100.923
758,28,167.86,138.601,150,90.9606,0.589536,-0.442014,0.271306,-26.363,100.885
759,28,161.006,137.214,150,89.6793,0.290399,0.147569,0.133621,-26.3628,100.85
760,28,168.657,138.651,150,90.718,0.312474,-0.330425,0.143801,-26.3652,100.881
761,28,165.929,143.504,150,90.428,-0.795189,-0.19692,-0.365914,-26.3628,100.869
762,28,166.818,136.785,150,90.6021,0.643864,-0.277021,0.296267,-26.3614,100.857
763,28,159.567,140.604,150,88.9905,-0.487025,0.464562,-0.224141,-26.3642,100.893
764,28,159.83,141.281,150,89.577,-0.2376,0.194644,-0.109333,-26.3641,100.861
765,28,167.036,137.558,150,90.7998,0.7261,-0.36802,0.334127,-26.3616,100.871
766,28,165.834,137.192,150,90.8421,0.970321,-0.387477,0.446512,-26.3604,100.876
767,28,167.191,136.945,150,90.5149,0.495768,-0.236927,0.228117,-26.3617,100.851
768,28,164.602,136.887,150,90.0513,0.21985,-0.0235922,0.101182,-26.3691,100.894
769,28,164.106,139.881,150,90.0066,-0.030914,-0.00302445,-0.0142343,-26.3818,100.989
770,28,158.793,140.009,150,89.3586,-0.0545815,0.295232,-0.0251244,-26.3722,100.928
771,28,164.248,144.366,150,90.0439,-0.627403,-0.0201835,-0.288775,-26.3705,100.915
772,28,164.905,143.978,150,90.1253,-0.533888,-0.057655,-0.245703,-26.3675,100.889
773,28,164.126,144.543,150,90.0294,-0.722571,-0.0135131,-0.332607,-26.3725,100.934
774,28,166.327,136.25,150,90.33,0.449727,-0.151854,0.206928,-26.3619,100.846
775,28,167.149,136.907,150,90.5168,0.505238,-0.237787,0.232473,-26.3615,100.85
776,28,169.104,139.273,150,90.6956,0.144649,-0.320178,0.0665779,-26.3697,100.912
777,28,158.667,139.979,150,89.1269,-0.0657641,0.401938,-0.0302758,-26.3742,100.954
778,28,159.28,139.681,150,89.5317,0.00491612,0.215567,0.00226282,-26.3715,100.917
779,28,160.098,138.708,150,89.6445,0.114856,0.163588,0.0528575,-26.3673,100.883
780,28,164.761,135.132,150,90.2759,0.838206,-0.126954,0.385747,-26.3657,100.89
781,28,163.253,144.273,150,89.7625,-0.85902,0.1093,-0.395342,-26.3667,100.898
782,28,158.794,139.823,150,88.9952,0.0551191,0.462535,0.0253751,-26.3732,100.954
783,28,162.969,135.189,150,89.7388,0.711434,0.120184,0.327395,-26.3653,100.881
784,28,163.975,144.551,150,89.958,-1.0488,0.0193544,-0.482804,-26.3725,100.952
785,28,159.967,140.681,150,88.9291,-0.602123,0.492766,-0.277096,-26.3618,100.883
786,28,167.669,141.997,150,90.7152,-0.658367,-0.329087,-0.302953,-26.3619,100.866
787,28,160.386,137.782,150,89.6166,0.248035,0.176439,0.114132,-26.3637,100.857
788,28,169.21,140.327,150,90.801,-0.191319,-0.368666,-0.0880627,-26.3701,100.921
789,28,165.088,144.014,150,90.3207,-0.867057,-0.147555,-0.399027,-26.3656,100.891
790,28,161.074,140.51,150,89.7847,-0.0897083,0.0990992,-0.0412863,-26.3689,100.892
791,28,163.745,143.594,150,89.5987,-1.21106,0.184641,-0.557354,-26.3641,100.904
792,28,168.621,138.734,150,90.5477,0.188252,-0.25205,0.0866275,-26.3644,100.867
793,28,163.688,144.495,150,89.9307,-0.71335,0.0318853,-0.328338,-26.3705,100.918
794,28,166.187,143.086,150,90.5428,-0.869956,-0.249764,-0.400308,-26.3613,100.865
795,28,160.309,137.599,150,89.3276,0.518178,0.309376,0.238441,-26.3622,100.862
796,28,168.968,140.708,150,90.7654,-0.299386,-0.352227,-0.137784,-26.3661,100.89
797,28,159.23,139.425,150,89.0122,0.312965,0.454582,0.144034,-26.3647,100.892
798,28,162.691,136.638,150,89.2802,1.05233,0.331177,0.484254,-26.361,100.88
799,28,164.23,135.49,150,90.3569,1.12889,-0.164227,0.519531,-26.3645,100.9
800,28,161.78,143.379,150,89.6944,-0.538993,0.140618,-0.24801,-26.3627,100.855
801,28,166.318,137.476,150,90.2015,0.198576,-0.0927281,0.0913778,-26.3653,100.865
802,28,160.534,138.193,150,89.6823,0.164628,0.146194,0.0757527,-26.3639,100.856
803,28,164.522,144.018,150,90.0706,-0.520896,-0.0324684,-0.239728,-26.3681,100.893
804,28,161.057,137.54,150,89.7196,0.225323,0.129019,0.103683,-26.3643,100.86
805,28,160.7,137.161,150,89.5832,0.364997,0.191766,0.167944,-26.3621,100.848
806,28,165.793,135.71,150,90.3408,0.59771,-0.156832,0.275042,-26.3638,100.866
807,28,166.483,138.731,150,90.1807,0.0702184,-0.0831665,0.0323174,-26.3698,100.898
808,28,169.335,139.966,150,90.7689,-0.0497597,-0.353959,-0.0229068,-26.3736,100.945
809,28,168.373,141.53,150,90.6606,-0.439425,-0.303957,-0.202209,-26.3634,100.868
810,28,163.033,135.612,150,89.5582,0.949341,0.203271,0.436876,-26.3637,100.884
811,28,167.413,138.169,150,90.9116,0.691866,-0.419438,0.318379,-26.3615,100.874
812,28,159.298,139.866,150,89.5437,-0.0245959,0.210025,-0.0113214,-26.3721,100.921
813,28,166.583,136.369,150,90.4513,0.551326,-0.207634,0.253685,-26.3622,100.855
814,28,163.955,136.457,150,89.996,0.263201,0.00183009,0.121148,-26.3723,100.919
815,28,160.708,141.164,150,89.7303,-0.16798,0.124087,-0.077301,-26.3659,100.871
816,28,164.001,144.432,150,89.9081,-1.12525,0.0423085,-0.51798,-26.3712,100.948
817,28,169.253,140.178,150,90.71,-0.110153,-0.326784,-0.0507021,-26.3704,100.918
818,28,162.508,138.248,150,89.8943,0.0991019,0.0486379,0.0456115,-26.3702,100.901
819,28,164.398,143.456,150,90.4432,-1.20815,-0.203945,-0.556003,-26.3633,100.899
820,28,167.106,136.939,150,90.407,0.39372,-0.187276,0.181157,-26.3617,100.846
821,28,165.429,143.827,150,90.3562,-0.824614,-0.163926,-0.379475,-26.3644,100.881
822,28,163.742,135.066,150,89.7768,1.02463,0.102717,0.47162,-26.3692,100.927
823,28,161.826,143.483,150,89.6423,-0.634861,0.164582,-0.29212,-26.362,100.854
824,28,161.846,140.144,150,89.8548,-0.0524173,0.0668412,-0.0241274,-26.3729,100.922
825,28,160.127,139.766,150,89.6864,-0.0161706,0.144325,-0.00744317,-26.3723,100.92
826,28,162.692,135.358,150,89.6923,0.688137,0.141608,0.316676,-26.3655,100.882
827,28,163.957,144.346,150,90.1146,-1.16893,-0.0527469,-0.538066,-26.3699,100.94
828,28,162.117,135.971,150,89.7372,0.450662,0.120919,0.20737,-26.3636,100.859
829,28,159.817,141.738,150,89.469,-0.382664,0.244317,-0.176077,-26.3623,100.853
830,28,167.186,137.766,150,90.3019,0.208203,-0.138895,0.0958031,-26.3638,100.856
831,28,160.283,141.347,150,89.0809,-0.72306,0.422897,-0.332739,-26.3617,100.878
832,28,159.274,139.953,150,88.8453,-0.304795,0.531421,-0.140287,-26.3657,100.91
833,28,159.968,141.305,150,89.1186,-0.62754,0.405591,-0.288783,-26.3623,100.876
834,28,163.384,136.824,150,89.9471,0.227405,0.0243246,0.104659,-26.369,100.893
835,28,169.114,140.242,150,90.9253,-0.231901,-0.425878,-0.106742,-26.3691,100.92
836,28,168.43,139.57,150,91.1132,0.403174,-0.512343,0.185569,-26.3661,100.912
837,28,161.862,138.56,150,89.8455,0.0801566,0.0711003,0.0368923,-26.3705,100.903
838,28,161.833,135.998,150,89.6044,0.577526,0.182013,0.265744,-26.3627,100.858
839,28,158.831,139.838,150,88.9667,0.0535995,0.475681,0.0246755,-26.3729,100.954
840,28,167.357,138.662,150,91.0516,0.724514,-0.483904,0.333416,-26.3612,100.882
841,28,167.985,141.385,150,90.3934,-0.239753,-0.181026,-0.110323,-26.3641,100.86
842,28,159.051,140.261,150,89.0215,-0.295386,0.450344,-0.13595,-26.3659,100.9
843,28,165.867,137.588,150,90.1518,0.170797,-0.0698705,0.0785965,-26.3659,100.869
844,28,162.824,143.816,150,89.6184,-0.921091,0.175597,-0.423877,-26.3641,100.885
845,28,161.546,142.038,150,89.7948,-0.247856,0.094403,-0.114053,-26.3649,100.863
846,28,169.156,139.797,150,91.0207,0.091234,-0.46986,0.0419996,-26.3719,100.946
847,28,168.609,139.49,150,91.0507,0.361395,-0.483556,0.166327,-26.3649,100.898
848,28,161.494,136.399,150,89.4738,0.642167,0.242101,0.295494,-26.3625,100.863
849,28,161.487,138.321,150,89.8067,0.110789,0.0889535,0.0509848,-26.3672,100.879
850,28,168.055,139.782,150,90.3415,-0.0169492,-0.157211,-0.00780154,-26.3722,100.919
851,28,162.42,135.547,150,89.6663,0.646048,0.153558,0.297291,-26.3642,100.871
852,28,165.046,142.692,150,90.0882,-0.287614,-0.0405845,-0.132367,-26.3686,100.891
853,28,163.32,140,150,89.9582,-0.0395854,0.0192522,-0.0182244,-26.3778,100.959
854,28,166.541,136.339,150,90.4644,0.57364,-0.213697,0.263949,-26.3617,100.853
855,28,167.489,138.249,150,90.318,0.157763,-0.146333,0.0725932,-26.3637,100.855
856,28,165.322,140.721,150,90.0861,-0.0960783,-0.0396443,-0.0442256,-26.3737,100.928
857,28,163.15,144.238,150,89.8436,-0.658193,0.0719777,-0.302916,-26.3676,100.895
858,28,168.651,140.714,150,90.4884,-0.167242,-0.224755,-0.076968,-26.3676,100.888
859,28,158.758,140.28,150,89.2349,-0.158925,0.352159,-0.0731535,-26.3709,100.925
860,28,161.443,142.529,150,89.3143,-0.904894,0.315517,-0.416407,-26.3618,100.876
861,28,166.168,136.503,150,90.6356,0.79302,-0.292458,0.364918,-26.3621,100.87
862,28,160.008,138.211,150,89.186,0.525272,0.374569,0.241721,-26.3631,100.875
863,28,164.986,136.03,150,90.1096,0.34729,-0.0504602,0.159827,-26.3679,100.887
864,28,162.647,137.545,150,89.8953,0.162434,0.0481666,0.0747574,-26.3693,100.895
865,28,168.845,140.403,150,90.5237,-0.121582,-0.241038,-0.0559558,-26.3681,100.893
866,28,162.784,141.199,150,89.9181,-0.134416,0.0376884,-0.0618699,-26.3724,100.918
867,28,161.843,137.77,150,89.826,0.159126,0.0800587,0.0732289,-26.3669,100.877
868,28,166.169,143.462,150,90.3928,-0.690756,-0.180746,-0.317852,-26.3628,100.864
869,28,160.813,142.634,150,89.6069,-0.453835,0.180875,-0.208816,-26.3615,100.845
870,28,164.025,140.136,150,90.0017,-0.0490012,-0.000782535,-0.0225617,-26.3807,100.981
871,28,159.004,139.125,150,89.3334,0.166264,0.306789,0.0765222,-26.3683,100.9
872,28,168.539,140.796,150,90.4667,-0.174125,-0.214777,-0.0801314,-26.3662,100.878
873,28,161.386,137.94,150,89.0636,0.870104,0.430843,0.400385,-26.3595,100.869
874,28,166.286,142.646,150,90.6623,-0.958522,-0.304707,-0.441064,-26.3605,100.868
875,28,163.944,143.72,150,89.6508,-1.23132,0.160694,-0.566665,-26.3634,100.899
876,28,169.099,139.937,150,90.5827,-0.0363885,-0.268213,-0.0167503,-26.373,100.932
877,28,167.763,139.17,150,91.1312,0.593908,-0.520528,0.273307,-26.3605,100.877
878,28,168.402,139.497,150,90.4078,0.0250308,-0.187684,0.0115207,-26.3705,100.908
879,28,165.073,140.428,150,90.0686,-0.0719971,-0.0315976,-0.0331416,-26.3743,100.932
880,28,161.441,136.788,150,89.7124,0.330199,0.132317,0.151932,-26.3624,100.847
881,28,165.705,143.085,150,90.1726,-0.378827,-0.0794241,-0.174315,-26.3638,100.857
882,28,160.759,141.904,150,89.6992,-0.271148,0.13843,-0.124766,-26.3634,100.853
883,28,164.418,134.84,150,90.1186,0.731679,-0.0545846,0.336773,-26.3703,100.918
884,28,161.998,137.163,150,89.82,0.22556,0.0828276,0.103796,-26.3655,100.867
885,28,168.379,138.889,150,90.9299,0.443142,-0.427925,0.203934,-26.3636,100.882
886,28,159.084,140.05,150,88.9215,-0.266481,0.496379,-0.122658,-26.3677,100.919
887,28,163.922,137.688,150,89.9946,0.136122,0.00248701,0.06266,-26.3746,100.934
888,28,168.441,138.548,150,90.5069,0.201037,-0.233262,0.092508,-26.3637,100.86
889,28,158.681,139.751,150,89.2434,0.0241914,0.348284,0.0111363,-26.3735,100.943
890,28,163.871,144.49,150,89.8847,-1.01468,0.0530685,-0.467045,-26.3698,100.93
891,28,168.121,138.704,150,90.9391,0.515233,-0.432133,0.237107,-26.3629,100.88
892,28,161.802,137.033,150,89.2264,0.867295,0.355953,0.399094,-26.3607,100.87
893,28,162.254,135.959,150,89.7668,0.42751,0.107315,0.196721,-26.3643,100.863
894,28,164.209,143.626,150,90.3907,-1.2137,-0.179798,-0.558564,-26.3639,100.902
895,28,158.695,139.931,150,89.2999,-0.036092,0.322284,-0.0166149,-26.374,100.945
896,28,167.371,137.327,150,90.3964,0.323411,-0.182393,0.148811,-26.3626,100.85
897,28,159.017,140.23,150,89.0202,-0.277487,0.450914,-0.127714,-26.3665,100.904
898,28,159.831,141.104,150,89.5948,-0.203649,0.18647,-0.0937107,-26.3643,100.862
